Timestamp,Poids (kg)
2025-03-23T00:21:56.390,-609.120
2025-03-23T00:21:56.406,-609.120
2025-03-23T00:21:56.422,-609.120
2025-03-23T00:21:56.437,-609.120
2025-03-23T00:21:56.453,-643.000
2025-03-23T00:21:56.469,-643.000
2025-03-23T00:21:56.485,646.040
2025-03-23T00:21:56.501,646.040
2025-03-23T00:21:56.517,-654.680
2025-03-23T00:21:56.533,-635.220
2025-03-23T00:21:56.549,-635.220
2025-03-23T00:21:56.565,-623.560
2025-03-23T00:21:56.581,-623.560
2025-03-23T00:21:56.597,-629.680
2025-03-23T00:21:56.613,-629.680
2025-03-23T00:21:56.629,-623.000
2025-03-23T00:21:56.645,-623.000
2025-03-23T00:21:56.661,-612.440
2025-03-23T00:21:56.677,-612.440
2025-03-23T00:21:56.693,-618.560
2025-03-23T00:21:56.709,-618.560
2025-03-23T00:21:56.725,-635.220
2025-03-23T00:21:56.741,-635.220
2025-03-23T00:21:56.757,-648.560
2025-03-23T00:21:56.773,-647.440
2025-03-23T00:21:56.789,-647.440
2025-03-23T00:21:56.805,-639.120
2025-03-23T00:21:56.821,-639.120
2025-03-23T00:21:56.837,-639.120
2025-03-23T00:21:56.853,-639.120
2025-03-23T00:21:56.869,-639.120
2025-03-23T00:21:56.885,-639.120
2025-03-23T00:21:56.901,-646.900
2025-03-23T00:21:56.917,-646.900
2025-03-23T00:21:56.933,-640.220
2025-03-23T00:21:56.949,-640.220
2025-03-23T00:21:56.965,-618.560
2025-03-23T00:21:56.981,-618.560
2025-03-23T00:21:56.997,-589.120
2025-03-23T00:21:57.013,-588.000
2025-03-23T00:21:57.029,-588.000
2025-03-23T00:21:57.045,-611.900
2025-03-23T00:21:57.061,-611.900
2025-03-23T00:21:57.077,-622.440
2025-03-23T00:21:57.093,-622.440
2025-03-23T00:21:57.109,-621.340
2025-03-23T00:21:57.125,-621.340
2025-03-23T00:21:57.141,-621.340
2025-03-23T00:21:57.157,-621.340
2025-03-23T00:21:57.173,-598.560
2025-03-23T00:21:57.189,-598.560
2025-03-23T00:21:57.206,-579.680
2025-03-23T00:21:57.237,-579.680
2025-03-23T00:21:57.253,-607.440
2025-03-23T00:21:57.269,-607.440
2025-03-23T00:21:57.285,-607.440
2025-03-23T00:21:57.302,-607.440
2025-03-23T00:21:57.318,-614.120
2025-03-23T00:21:57.349,-614.120
2025-03-23T00:21:57.365,-623.560
2025-03-23T00:21:57.381,-634.120
2025-03-23T00:21:57.398,-634.120
2025-03-23T00:21:57.413,-650.220
2025-03-23T00:21:57.429,-650.220
2025-03-23T00:21:57.445,645.500
2025-03-23T00:21:57.461,645.500
2025-03-23T00:21:57.477,-650.220
2025-03-23T00:21:57.493,-631.340
2025-03-23T00:21:57.509,-631.340
2025-03-23T00:21:57.525,-615.220
2025-03-23T00:21:57.541,-615.220
2025-03-23T00:21:57.557,-616.340
2025-03-23T00:21:57.573,-616.340
2025-03-23T00:21:57.589,-643.560
2025-03-23T00:21:57.605,-643.560
2025-03-23T00:21:57.621,-651.900
2025-03-23T00:21:57.637,-651.900
2025-03-23T00:21:57.653,-638.000
2025-03-23T00:21:57.669,-638.000
2025-03-23T00:21:57.685,-624.680
2025-03-23T00:21:57.701,-624.680
